
State: AL
   Lat     Lon  COOP# StnID State City/Station Name               County                     Elev      Feb 1      Feb 2      Feb 3      Feb 4      Feb 5      Feb 6      Feb 7      Feb 8      Feb 9      Feb10      Feb11      Feb12      Feb13      Feb14      Feb15      Feb16      Feb17      Feb18      Feb19      Feb20      Feb21      Feb22      Feb23      Feb24      Feb25      Feb26      Feb27      Feb28
 33.56  -91.38 031962          AR DERMOTT 3 NE                    CHICOT                       143      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 33.11  -91.26 032355          AR EUDORA                          CHICOT                       135      0.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000      0.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000      0.000      0.000
 34.14  -93.06 030220          AR ARKADELPHIA 2 N                 CLARK                        196      0.000  -9999.000  -9999.000      1.300      0.000      0.000      0.000  -9999.000  -9999.000      3.000      0.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 36.42  -90.59 031632 CRNA4    AR CORNING                         CLAY                         300  -9999.000  -9999.000  -9999.000  -9999.000      2.000  -9999.000      2.500  -9999.000  -9999.000      4.500  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 36.45  -90.15 036380          AR SAINT FRANCIS                   CLAY                         300  -9999.000  -9999.000      0.000  -9999.000      1.000      0.000      0.000      0.000  -9999.000      3.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 35.52  -92.00 032978 GFOA4    AR GREERS FERRY DAM                CLEBURNE                     527  -9999.000      0.000      0.000      0.000  -9999.000  -9999.000  -9999.000      0.000  -9999.000      9.000      0.000  -9999.000  -9999.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  -9999.000  -9999.000      0.000
 35.32  -92.57 031310          AR CENTER RIDGE 4 S                CONWAY                       640  -9999.000  -9999.000  -9999.000  -9999.000      3.100  -9999.000      1.600  -9999.000  -9999.000      9.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 35.29  -92.79 033200          AR HATTIEVILLE                     CONWAY                       360  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      9.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 35.16  -92.77 034938          AR MORRILTON                       CONWAY                       340  -9999.000  -9999.000  -9999.000  -9999.000      2.000  -9999.000      1.000  -9999.000  -9999.000      7.500      0.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 35.85  -90.66 033734 JBRA4    AR JONESBORO 2 NE                  CRAIGHEAD                    310      0.000      0.000      0.000      0.000      0.600      0.000      1.000      1.500      0.000      1.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000      0.000      0.000      0.000  -9999.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
