lat,lng,COOP#,tnID,State,ity/Station Name,County,Elev,11_01,11_02,11_03,11_04,11_05,11_06,11_07,11_08,11_09,11_10,11_11,11_12,11_13,11_14,11_15,11_16,11_17,11_18,11_19,11_20,11_21,11_22,11_23,11_24,11_25,11_26,11_27,11_28,11_29,11_30,11_31,TotalSnow
48.83,-105.48,247425,SCOM,MT,SCOBEY 4 NW,DANIELS,2374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,1.000,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0
47.87,-104.90,241164,,MT,BROCKTON 20S,DAWSON,2370,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,-1,-1,-1,-1,-1,-1,0.000,-1,-1,0.500,3.000,-1,0.000,2.000,-1,-1,-1,-1,2.500,-1,0,8.0
47.11,-104.72,243581,GNDM,MT,GLENDIVE,DAWSON,2076,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,0.000,0.000,5.000,3.000,-1,0.000,-1,-1,-1,0.000,0.000,2.000,-1,0,10.0
46.13,-112.96,240199,ANAM,MT,ANACONDA,DEER LODGE,5280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.300,0.600,0.000,0.000,0.000,0.000,0.500,0.000,1.300,1.800,1.000,0.300,5.200,0.000,0.800,9.700,1.600,0.300,0.000,0.000,0.500,0.000,0.000,0,25.9
46.19,-113.26,243437,,MT,GEORGETOWN LAKE - 7 GABLES,DEER LODGE,6410,0.000,0.000,0.000,-1,0.000,0.000,0.000,2.000,2.500,0.000,0.000,0.000,0.000,0.000,1.500,3.000,1.000,0.000,3.500,1.500,1.500,0.000,2.500,2.000,0.000,1.000,0.000,3.000,4.000,0.000,0,29.0
46.42,-104.52,246601,PLEM,MT,PLEVNA,FALLON,2780,-1,-1,-1,-1,-1,-1,-1,-1,5.000,-1,-1,-1,-1,0.000,0.000,-1,0.500,0.000,0.000,-1,0.400,0.700,-1,-1,-1,-1,-1,-1,2.600,0.000,0,9.2
47.03,-108.80,243727,GSSM,MT,GRASS RANGE,FERGUS,3490,-1,-1,-1,-1,-1,-1,-1,0.000,1.000,-1,-1,0.000,-1,-1,-1,1.000,0.000,0.000,0.000,3.000,0.000,1.000,1.000,0.500,-1,0.000,-1,1.500,0.000,-1,0,9.0
47.07,-109.40,244976,,MT,LEWISTOWN,FERGUS,3911,-1,0.000,0.000,-1,0.000,-1,-1,-1,2.000,0.000,0.000,0.000,-1,-1,-1,-1,0.000,-1,0.000,-1,-1,-1,2.000,1.000,1.000,0.000,-1,-1,-1,0.000,0,6.0
47.01,-109.23,244979,,MT,LEWISTOWN 11ESE,FERGUS,5028,-1,-1,-1,-1,-1,-1,-1,-1,5.000,-1,-1,-1,0.000,1.000,-1,-1,-1,-1,1.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7.0
47.34,-108.50,248498,VALM,MT,VALENTINE,FERGUS,2905,-1,-1,-1,-1,-1,-1,-1,-1,0.100,0.000,-1,-1,-1,-1,-1,-1,0.200,0.000,0.000,0.100,0.200,0.000,0.100,0.100,0.000,-1,-1,-1,0.100,-1,0,0.9
48.19,-114.13,242104,,MT,CRESTON,FLATHEAD,2940,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,0.000,3.000,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.000,10.000,0,23.0
48.34,-114.02,244328,,MT,HUNGRY HORSE DAM,FLATHEAD,3160,0.000,0.000,-1,-1,-1,-1,0.000,0.000,-1,-1,-1,-1,0.000,0.000,0.000,0.000,0.700,0.100,-1,0.000,0.000,0.000,0.000,0.000,-1,-1,-1,-1,4.000,1.000,0,5.8
